
<!-- saved from url=(0034)http://fx.sauder.ubc.ca/cgi/fxdata -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><style type="text/css"></style></head><body><pre style="word-wrap: break-word; white-space: pre-wrap;">"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","XAU/USD","XAG/USD","XPT/USD","CAD/USD","EUR/USD","JPY/USD","GBP/USD","CHF/USD","AUD/USD","HKD/USD","NZD/USD","KRW/USD","MXN/USD"
2452642,"2003/01/02","Thu",0.0029087,0.210007,0.00165178,1.5747,0.96495,119.86,0.62582,1.4011,1.7751,7.7987,1.9120,1188.45,10.360
2452643,"2003/01/03","Fri",0.0028494,0.205542,0.00165316,1.5665,0.95981,119.84,0.62333,1.3970,1.7701,7.7988,1.9048,1196.71,10.367
2452646,"2003/01/06","Mon",0.0028487,0.205527,0.00166256,1.5596,0.95540,119.05,0.62200,1.3929,1.7350,7.7991,1.8745,1188.72,10.411
2452647,"2003/01/07","Tue",0.0028495,0.205585,0.00166304,1.5592,0.95986,120.16,0.62286,1.3985,1.7375,7.7994,1.8810,1183.00,10.319
2452648,"2003/01/08","Wed",0.0028481,0.205483,0.00166222,1.5613,0.95697,119.36,0.62255,1.3963,1.7381,7.7996,1.8861,1183.70,10.360
2452649,"2003/01/09","Thu",0.0028485,0.205513,0.00166246,1.5537,0.95518,119.57,0.62355,1.3941,1.7339,7.7993,1.8849,1180.62,10.407
2452650,"2003/01/10","Fri",0.0028413,0.207578,0.00161360,1.5500,0.94883,119.45,0.62197,1.3863,1.7174,7.7991,1.8639,1178.71,10.466
2452653,"2003/01/13","Mon",0.0028359,0.208288,0.00161975,1.5418,0.94909,119.04,0.62383,1.3865,1.7133,7.7988,1.8567,1176.05,10.539
2452654,"2003/01/14","Tue",0.0028403,0.211499,0.00161679,1.5397,0.94588,117.94,0.62223,1.3838,1.7136,7.7991,1.8575,1174.45,10.531
2452655,"2003/01/15","Wed",0.0028513,0.210048,0.00162611,1.5352,0.94520,117.90,0.62363,1.3824,1.7096,7.7990,1.8575,1172.80,10.486
2452656,"2003/01/16","Thu",0.0028302,0.209689,0.00161771,1.5363,0.94605,117.98,0.62203,1.3839,1.7032,7.7990,1.8410,1169.18,10.501
2452657,"2003/01/17","Fri",0.0028072,0.209323,0.00160138,1.5354,0.93788,117.87,0.61807,1.3678,1.6923,7.7990,1.8132,1173.85,10.582
2452660,"2003/01/20","Mon",0.0028129,0.208762,0.00158725,1.5347,0.93716,118.14,0.62202,1.3690,1.6941,7.7989,1.8124,1174.22,10.621
2452661,"2003/01/21","Tue",0.0028101,0.209682,0.00159044,1.5330,0.93647,118.55,0.62015,1.3687,1.7043,7.7993,1.8397,1175.61,10.675
2452662,"2003/01/22","Wed",0.0027826,0.207580,0.00155375,1.5320,0.93199,118.16,0.61827,1.3626,1.7060,7.7991,1.8398,1176.65,10.842
2452663,"2003/01/23","Thu",0.0027522,0.209667,0.00153498,1.5238,0.92869,117.84,0.61610,1.3585,1.6918,7.7992,1.8242,1165.88,10.777
2452664,"2003/01/24","Fri",0.0027159,0.205398,0.00155268,1.5221,0.92366,117.78,0.61261,1.3532,1.6878,7.7992,1.8174,1162.80,10.833
2452667,"2003/01/27","Mon",0.0026857,0.206610,0.00155467,1.5248,0.92244,118.63,0.61141,1.3553,1.6969,7.7994,1.8194,1162.19,10.891
2452668,"2003/01/28","Tue",0.0027164,0.207564,0.00156174,1.5360,0.92291,118.66,0.60974,1.3558,1.6987,7.7993,1.8275,1176.11,10.894
2452669,"2003/01/29","Wed",0.0027072,0.206486,0.00151200,1.5227,0.92062,118.07,0.60760,1.3513,1.6925,7.7998,1.8197,1165.93,10.978
2452670,"2003/01/30","Thu",0.0027078,0.204413,0.00151274,1.5309,0.92804,119.21,0.60661,1.3625,1.7036,7.8000,1.8374,1164.18,10.865
2452671,"2003/01/31","Fri",0.0027241,0.207076,0.00148627,1.5290,0.93112,119.96,0.60793,1.3680,1.7057,7.8000,1.8369,1163.62,10.906
2452674,"2003/02/03","Mon",0.0027013,0.207646,0.00143790,1.5201,0.92921,120.47,0.60960,1.3637,1.7099,7.7999,1.8390,1182.96,10.897
2452675,"2003/02/04","Tue",0.0026533,0.204671,0.00143928,1.5143,0.91926,119.75,0.60706,1.3487,1.6927,7.7998,1.8209,1175.70,10.989
2452676,"2003/02/05","Wed",0.0026359,0.206151,0.00144518,1.5195,0.92220,119.79,0.60761,1.3532,1.6934,7.7997,1.8213,1174.27,10.861
2452677,"2003/02/06","Thu",0.0026946,0.214072,0.00146621,1.5215,0.92352,119.91,0.61146,1.3540,1.6919,7.7996,1.8217,1171.29,10.876
2452678,"2003/02/07","Fri",0.0027182,0.215450,0.00146296,1.5211,0.92586,120.40,0.61411,1.3585,1.6933,7.7993,1.8250,1183.74,10.896
2452681,"2003/02/10","Mon",0.0027161,0.216574,0.00146409,1.5311,0.93053,121.26,0.61436,1.3643,1.6954,7.7994,1.8210,1196.17,10.991
2452682,"2003/02/11","Tue",0.0027478,0.220406,0.00147983,1.5301,0.93044,121.19,0.61752,1.3653,1.6971,7.7995,1.8211,1203.86,10.945
2452683,"2003/02/12","Wed",0.0028246,0.222004,0.00146443,1.5287,0.93299,121.26,0.61881,1.3692,1.6938,7.7994,1.8186,1198.98,10.974
2452684,"2003/02/13","Thu",0.0028079,0.220835,0.00145636,1.5195,0.92320,120.49,0.61691,1.3556,1.6781,7.7995,1.8038,1203.09,10.971
2452685,"2003/02/14","Fri",0.0028482,0.221521,0.00145487,1.5188,0.92598,120.41,0.62060,1.3613,1.6885,7.7994,1.8115,1194.96,10.880
2452688,"2003/02/17","Mon",0.0028944,0.222666,0.00145527,1.5209,0.93090,120.13,0.62547,1.3694,1.6903,7.7995,1.8117,1207.06,10.764
2452689,"2003/02/18","Tue",0.0029040,0.218902,0.00150244,1.5148,0.93379,118.93,0.62797,1.3743,1.6910,7.7996,1.8148,1196.52,10.774
2452690,"2003/02/19","Wed",0.0028799,0.218013,0.00149165,1.5142,0.93073,118.65,0.62674,1.3697,1.6823,7.7994,1.8091,1191.34,10.839
2452691,"2003/02/20","Thu",0.0028339,0.214427,0.00150082,1.5043,0.92402,118.18,0.62807,1.3575,1.6705,7.7994,1.7919,1189.17,10.909
2452692,"2003/02/21","Fri",0.0028473,0.214840,0.00151067,1.5054,0.92720,118.78,0.63035,1.3615,1.6740,7.7990,1.7911,1191.93,10.972
2452695,"2003/02/24","Mon",0.0028039,0.213045,0.00149726,1.4943,0.92744,117.78,0.63053,1.3596,1.6506,7.7991,1.7676,1185.01,10.979
2452696,"2003/02/25","Tue",0.0028355,0.215281,0.00148584,1.4926,0.92720,117.15,0.63588,1.3542,1.6528,7.7989,1.7708,1189.32,11.064
2452697,"2003/02/26","Wed",0.0028228,0.215337,0.00146881,1.4935,0.92620,117.18,0.63246,1.3549,1.6463,7.7988,1.7704,1185.32,11.038
2452698,"2003/02/27","Thu",0.0028608,0.217418,0.00147013,1.4952,0.92898,117.58,0.63286,1.3594,1.6527,7.7989,1.7777,1183.85,11.018
2452699,"2003/02/28","Fri",0.0028581,0.217125,0.00147537,1.4871,0.92776,118.22,0.63540,1.3557,1.6448,7.7991,1.7930,1193.50,11.024
2452702,"2003/03/03","Mon",0.0028831,0.215418,0.00148284,1.4846,0.92292,117.93,0.63461,1.3466,1.6293,7.7987,1.7827,1183.89,10.989
2452703,"2003/03/04","Tue",0.0028382,0.215442,0.00145256,1.4772,0.91854,117.93,0.63201,1.3397,1.6289,7.7988,1.7813,1196.11,11.132
2452704,"2003/03/05","Wed",0.0028280,0.216144,0.00144067,1.4723,0.91181,117.29,0.62497,1.3299,1.6224,7.7990,1.7694,1198.94,11.196
2452705,"2003/03/06","Thu",0.0028182,0.214451,0.00144882,1.4711,0.90932,117.23,0.62308,1.3318,1.6280,7.7989,1.7681,1216.79,11.230
2452706,"2003/03/07","Fri",0.0028541,0.215435,0.00144946,1.4662,0.90775,116.46,0.62413,1.3338,1.6291,7.7989,1.7791,1218.79,11.116
2452709,"2003/03/10","Mon",0.0028230,0.214011,0.00141963,1.4656,0.90397,116.53,0.62475,1.3247,1.6238,7.7989,1.7804,1242.04,11.103
2452710,"2003/03/11","Tue",0.0028550,0.214589,0.00142794,1.4721,0.90674,117.07,0.62338,1.3313,1.6563,7.7988,1.8060,1223.69,11.002
2452711,"2003/03/12","Wed",0.0028812,0.215851,0.00144535,1.4723,0.90715,117.17,0.62010,1.3316,1.6786,7.7989,1.8174,1243.50,10.906
2452712,"2003/03/13","Thu",0.0029882,0.220794,0.00145100,1.4850,0.91990,118.30,0.62269,1.3489,1.6827,7.7988,1.8281,1245.80,10.839
2452713,"2003/03/14","Fri",0.0029772,0.221522,0.00146250,1.4822,0.93244,118.58,0.63196,1.3691,1.6769,7.7990,1.8129,1241.37,10.835
2452716,"2003/03/17","Mon",0.0029760,0.223635,0.00144345,1.4835,0.94244,118.39,0.63749,1.3842,1.6873,7.7991,1.8214,1247.69,10.852
2452717,"2003/03/18","Tue",0.0029535,0.224110,0.00145962,1.4786,0.94124,118.88,0.64006,1.3841,1.6866,7.7989,1.8236,1253.05,10.793
2452718,"2003/03/19","Wed",0.0029687,0.226264,0.00147804,1.4804,0.94425,120.14,0.63885,1.3900,1.6911,7.7990,1.8169,1256.71,10.853
2452719,"2003/03/20","Thu",0.0029874,0.226411,0.00151492,1.4784,0.94136,120.03,0.63790,1.3858,1.6848,7.7989,1.8065,1244.44,10.855
2452720,"2003/03/21","Fri",0.0030232,0.228099,0.00152268,1.4907,0.94889,121.44,0.63866,1.3998,1.6920,7.7988,1.8063,1244.32,10.748
2452723,"2003/03/24","Mon",0.0030349,0.229188,0.00153007,1.4801,0.93951,120.69,0.63494,1.3848,1.6817,7.7989,1.8127,1251.14,10.812
2452724,"2003/03/25","Tue",0.0030312,0.228639,0.00155712,1.4775,0.93685,120.02,0.63661,1.3806,1.6755,7.7991,1.8129,1250.00,10.714
2452725,"2003/03/26","Wed",0.0030312,0.227770,0.00155763,1.4710,0.93646,120.13,0.63520,1.3825,1.6742,7.7990,1.8273,1244.50,10.769
2452726,"2003/03/27","Thu",0.0030377,0.229035,0.00158379,1.4682,0.93373,119.77,0.63779,1.3807,1.6658,7.7992,1.8191,1247.41,10.764
2452727,"2003/03/28","Fri",0.0030191,0.226835,0.00159278,1.4678,0.92922,120.17,0.63790,1.3718,1.6657,7.7992,1.8179,1258.83,10.659
2452730,"2003/03/31","Mon",0.0029814,0.225495,0.00155875,1.4693,0.91728,118.06,0.63324,1.3536,1.6535,7.7994,1.8046,1250.47,10.780
2452731,"2003/04/01","Tue",0.0029836,0.225688,0.00156797,1.4726,0.91688,118.24,0.63425,1.3537,1.6539,7.7993,1.8020,1259.71,10.733
2452732,"2003/04/02","Wed",0.0030443,0.228130,0.00158422,1.4761,0.92901,119.17,0.63848,1.3794,1.6668,7.7990,1.8176,1255.19,10.665
2452733,"2003/04/03","Thu",0.0030619,0.226275,0.00162524,1.4752,0.93125,119.57,0.63614,1.3808,1.6673,7.7994,1.8221,1255.49,10.667
2452734,"2003/04/04","Fri",0.0030839,0.227467,0.00162486,1.4719,0.93341,120.04,0.64110,1.3871,1.6635,7.7995,1.8456,1258.03,10.674
2452737,"2003/04/07","Mon",0.0031060,0.226652,0.00164042,1.4846,0.94147,120.40,0.64509,1.3985,1.6747,7.7996,1.8588,1257.07,10.681
2452738,"2003/04/08","Tue",0.0030992,0.222819,0.00161955,1.4679,0.93598,119.91,0.64486,1.3905,1.6654,7.7996,1.8344,1253.54,10.738
2452739,"2003/04/09","Wed",0.0030981,0.222165,0.00160215,1.4678,0.93265,120.53,0.64259,1.3868,1.6576,7.7996,1.8322,1244.95,10.769
2452740,"2003/04/10","Thu",0.0030715,0.223307,0.00160720,1.4570,0.92561,119.59,0.63616,1.3827,1.6489,7.7994,1.8279,1229.54,10.753
2452741,"2003/04/11","Fri",0.0030621,0.223295,0.00160386,1.4516,0.93010,120.47,0.63641,1.3930,1.6531,7.7996,1.8335,1229.13,10.705
2452744,"2003/04/14","Mon",0.0030756,0.222681,0.00159744,1.4532,0.92827,120.30,0.63642,1.3893,1.6568,7.7994,1.8279,1224.26,10.615
2452745,"2003/04/15","Tue",0.0030945,0.221127,0.00160500,1.4515,0.92582,120.22,0.63671,1.3910,1.6506,7.7994,1.8171,1218.73,10.649
2452746,"2003/04/16","Wed",0.0030775,0.224077,0.00160954,1.4562,0.92002,120.06,0.63515,1.3798,1.6349,7.7996,1.7942,1215.53,10.621
2452747,"2003/04/17","Thu",0.0030537,0.224200,0.00158715,1.4496,0.91689,119.30,0.63448,1.3760,1.6262,7.7997,1.7947,1205.99,10.543
2452751,"2003/04/21","Mon",0.0030224,0.222894,0.00156861,1.4544,0.92109,120.55,0.64133,1.3899,1.6283,7.7997,1.7989,1207.97,10.531
2452752,"2003/04/22","Tue",0.0030050,0.219372,0.00155857,1.4471,0.91185,119.67,0.63419,1.3708,1.6079,7.7996,1.7824,1225.32,10.555
2452753,"2003/04/23","Wed",0.0029997,0.216644,0.00157007,1.4510,0.91332,120.33,0.63227,1.3759,1.6207,7.7994,1.7922,1219.33,10.522
2452754,"2003/04/24","Thu",0.0029940,0.216882,0.00158296,1.4579,0.90570,119.82,0.62603,1.3593,1.6109,7.7995,1.7999,1220.00,10.443
2452755,"2003/04/25","Fri",0.0029984,0.215909,0.00158983,1.4532,0.90576,120.26,0.62830,1.3611,1.6259,7.7997,1.8052,1237.82,10.425
2452758,"2003/04/28","Mon",0.0030095,0.218919,0.00163191,1.4501,0.90915,120.33,0.62862,1.3693,1.6146,7.7990,1.7958,1221.65,10.432
2452759,"2003/04/29","Tue",0.0030008,0.219274,0.00165745,1.4457,0.90822,120.13,0.62865,1.3690,1.6122,7.7992,1.7930,1216.92,10.334
2452760,"2003/04/30","Wed",0.0029624,0.216887,0.00165865,1.4335,0.89409,119.07,0.62489,1.3545,1.5970,7.7991,1.7861,1214.83,10.306
2452761,"2003/05/01","Thu",,,,1.4188,0.88975,118.54,0.62097,1.3432,1.5826,7.7989,1.7791,1212.65,10.237
2452762,"2003/05/02","Fri",0.0029453,0.211329,0.00165871,1.4223,0.89284,119.11,0.62412,1.3478,1.5869,7.7991,1.7757,1212.53,10.196
2452765,"2003/05/05","Mon",0.0029242,0.209422,0.00166144,1.4132,0.88713,118.63,0.62256,1.3437,1.5760,7.7990,1.7758,1212.01,10.182
2452766,"2003/05/06","Tue",0.0029156,0.208776,0.00160487,1.4082,0.88068,117.90,0.61953,1.3336,1.5662,7.7991,1.7526,1199.49,10.256
2452767,"2003/05/07","Wed",0.0029370,0.212074,0.00158187,1.4009,0.88179,116.51,0.62781,1.3261,1.5712,7.7991,1.7666,1198.37,10.218
2452768,"2003/05/08","Thu",0.0028767,0.208986,0.00157440,1.3952,0.87309,116.62,0.62366,1.3175,1.5573,7.7989,1.7416,1197.60,10.177
2452769,"2003/05/09","Fri",0.0028710,0.209385,0.00156315,1.3927,0.86962,117.21,0.62316,1.3116,1.5507,7.7990,1.7348,1201.64,10.107
2452772,"2003/05/12","Mon",0.0028611,0.209356,0.00151564,1.3887,0.86523,116.92,0.62126,1.3106,1.5427,7.7990,1.7234,1190.99,10.189
2452773,"2003/05/13","Tue",0.0028635,0.207404,0.00154300,1.3898,0.86944,116.56,0.62103,1.3166,1.5477,7.7991,1.7377,1195.01,10.145
2452774,"2003/05/14","Wed",0.0028295,0.206058,0.00151581,1.3787,0.86962,116.17,0.61867,1.3154,1.5441,7.7986,1.7382,1197.83,10.137
2452775,"2003/05/15","Thu",0.0028260,0.208538,0.00151487,1.3761,0.87277,115.89,0.61502,1.3133,1.5551,7.7993,1.7435,1196.61,10.269
2452776,"2003/05/16","Fri",0.0028089,0.208794,0.00153355,1.3667,0.86632,116.02,0.61569,1.3104,1.5377,7.7992,1.7311,1199.91,10.362
2452780,"2003/05/20","Tue",0.0027241,0.210047,0.00151489,1.3446,0.85567,116.76,0.60985,1.2935,1.5219,7.7990,1.7053,1200.53,10.256
2452781,"2003/05/21","Wed",0.0027093,0.211793,0.00149623,1.3495,0.85411,117.23,0.60895,1.2904,1.5240,7.7990,1.7130,1194.25,10.262
2452782,"2003/05/22","Thu",0.0027078,0.215032,0.00149562,1.3682,0.85465,117.25,0.61165,1.2938,1.5180,7.7990,1.7130,1194.93,10.249
2452783,"2003/05/23","Fri",0.0027187,0.216426,0.00150569,1.3775,0.84827,116.86,0.61062,1.2925,1.5194,7.7987,1.7146,1194.71,10.234
2452786,"2003/05/26","Mon",,,,1.3744,0.84278,116.83,0.60990,1.2877,1.5167,7.7988,1.7124,1199.30,10.249
2452787,"2003/05/27","Tue",0.0027343,0.217707,0.00146838,1.3746,0.84352,117.13,0.60969,1.2850,1.5176,7.7987,1.7125,1198.43,10.373
2452788,"2003/05/28","Wed",,,,1.3866,0.85146,118.72,0.61148,1.2987,1.5417,7.7983,1.7380,1200.52,10.410
2452789,"2003/05/29","Thu",0.0027567,0.220758,0.00156607,1.3769,0.84504,118.45,0.60654,1.2894,1.5433,7.7984,1.7365,1206.75,10.339
2452790,"2003/05/30","Fri",,,,1.3708,0.85000,119.48,0.60989,1.3023,1.5338,7.7987,1.7328,1205.63,10.338
2452793,"2003/06/02","Mon",0.0027339,0.220687,0.00156308,1.3695,0.85141,118.53,0.61095,1.2972,1.5232,7.7987,1.7224,1202.37,10.246
2452794,"2003/06/03","Tue",,,,1.3758,0.85432,119.26,0.61428,1.3128,1.5157,7.7986,1.7275,1201.57,10.267
